service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"MF10-13-462-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF10-13-469-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF10-16-501-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF10-16-528-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF10-16-529-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF10-16-530-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF10-16-531-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF10-16-532-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF10-16-533-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF10-16-537-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF10-16-544-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF10-20-701-aus","1","1","1","1","0","0","0","20250522","20250824"
"MF10-20-703-aus","1","1","1","1","0","0","0","20250522","20250824"
"MF10-20-704-aus","1","1","1","1","0","0","0","20250522","20250824"
"MF10-20-706-aus","1","1","1","1","0","0","0","20250522","20250824"
"MF10-20-733-aus","1","1","1","1","0","0","0","20250522","20250824"
"MF10-20-766-aus","1","1","1","1","0","0","0","20250522","20250824"
"MF10-20-767-aus","1","1","1","1","0","0","0","20250522","20250824"
"MF10-21-670-aus","0","0","0","1","0","0","0","20250522","20250824"
"MF10-21-693-aus","0","0","0","1","0","0","0","20250522","20250824"
"MF10-38-408-aus","1","1","1","1","0","0","0","20250522","20250824"
"MF10-38-409-aus","1","1","1","1","0","0","0","20250522","20250824"
"MF10-49-630-aus","1","0","1","1","0","0","0","20250522","20250824"
"MF10-53-420-aus","1","1","1","1","0","0","0","20250522","20250824"
"MF10-82-400-aus","1","1","1","1","0","0","0","20250522","20250824"
"MF11-21-670-aus","0","0","0","0","1","0","0","20250522","20250824"
"MF11-21-693-aus","0","0","0","0","1","0","0","20250522","20250824"
"MF11-38-406-aus","0","0","0","0","1","0","0","20250522","20250824"
"MF11-49-630-aus","0","1","0","0","0","0","0","20250522","20250824"
"MF1-16-501-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF1-16-511-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF1-16-528-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF1-16-529-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF1-16-530-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF1-16-531-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF1-16-532-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF1-16-533-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF1-16-537-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF1-16-544-aus","1","1","1","1","1","0","0","20250522","20250824"
"MF11-82-150-aus","0","0","0","0","1","0","0","20250522","20250824"
"MF11-82-151-aus","0","0","0","0","1","0","0","20250522","20250824"
