service_id,date,exception_type
"MF10-13-462-aus","20250522","2"
"MF10-13-462-aus","20250523","2"
"MF10-13-462-aus","20250526","2"
"MF10-13-462-aus","20250527","2"
"MF10-13-462-aus","20250528","2"
"MF10-13-462-aus","20250529","2"
"MF10-13-462-aus","20250530","2"
"MF10-13-462-aus","20250602","2"
"MF10-13-462-aus","20250603","2"
"MF10-13-462-aus","20250604","2"
"MF10-13-462-aus","20250605","2"
"MF10-13-462-aus","20250606","2"
"MF10-13-462-aus","20250609","2"
"MF10-13-462-aus","20250610","2"
"MF10-13-462-aus","20250611","2"
"MF10-13-462-aus","20250612","2"
"MF10-13-462-aus","20250613","2"
"MF10-13-462-aus","20250616","2"
"MF10-13-462-aus","20250617","2"
"MF10-13-462-aus","20250618","2"
"MF10-13-462-aus","20250619","2"
"MF10-13-462-aus","20250620","2"
"MF10-13-462-aus","20250623","2"
"MF10-13-462-aus","20250624","2"
"MF10-13-462-aus","20250625","2"
"MF10-13-462-aus","20250626","2"
"MF10-13-462-aus","20250627","2"
"MF10-13-462-aus","20250630","2"
"MF10-13-462-aus","20250701","2"
"MF10-13-462-aus","20250702","2"
"MF10-13-462-aus","20250703","2"
"MF10-13-462-aus","20250704","2"
"MF10-13-469-aus","20250522","2"
"MF10-13-469-aus","20250523","2"
"MF10-13-469-aus","20250526","2"
"MF10-13-469-aus","20250527","2"
"MF10-13-469-aus","20250528","2"
"MF10-13-469-aus","20250529","2"
"MF10-13-469-aus","20250530","2"
"MF10-13-469-aus","20250602","2"
"MF10-13-469-aus","20250603","2"
"MF10-13-469-aus","20250604","2"
"MF10-13-469-aus","20250605","2"
"MF10-13-469-aus","20250606","2"
"MF10-13-469-aus","20250609","2"
"MF10-13-469-aus","20250610","2"
"MF10-13-469-aus","20250611","2"
"MF10-13-469-aus","20250612","2"
"MF10-13-469-aus","20250613","2"
"MF10-13-469-aus","20250616","2"
"MF10-13-469-aus","20250617","2"
"MF10-13-469-aus","20250618","2"
"MF10-13-469-aus","20250619","2"
"MF10-13-469-aus","20250620","2"
"MF10-13-469-aus","20250623","2"
"MF10-13-469-aus","20250624","2"
"MF10-13-469-aus","20250625","2"
"MF10-13-469-aus","20250626","2"
"MF10-13-469-aus","20250627","2"
"MF10-13-469-aus","20250630","2"
"MF10-13-469-aus","20250701","2"
"MF10-13-469-aus","20250702","2"
"MF10-13-469-aus","20250703","2"
"MF10-13-469-aus","20250704","2"
"MF10-16-501-aus","20250609","2"
"MF10-16-501-aus","20250707","2"
"MF10-16-501-aus","20250708","2"
"MF10-16-501-aus","20250709","2"
"MF10-16-501-aus","20250710","2"
"MF10-16-501-aus","20250711","2"
"MF10-16-501-aus","20250714","2"
"MF10-16-501-aus","20250715","2"
"MF10-16-501-aus","20250716","2"
"MF10-16-501-aus","20250717","2"
"MF10-16-501-aus","20250718","2"
"MF10-16-501-aus","20250721","2"
"MF10-16-501-aus","20250722","2"
"MF10-16-501-aus","20250723","2"
"MF10-16-501-aus","20250724","2"
"MF10-16-501-aus","20250725","2"
"MF10-16-501-aus","20250728","2"
"MF10-16-501-aus","20250729","2"
"MF10-16-501-aus","20250730","2"
"MF10-16-501-aus","20250731","2"
"MF10-16-501-aus","20250801","2"
"MF10-16-501-aus","20250804","2"
"MF10-16-501-aus","20250805","2"
"MF10-16-501-aus","20250806","2"
"MF10-16-501-aus","20250807","2"
"MF10-16-501-aus","20250808","2"
"MF10-16-501-aus","20250811","2"
"MF10-16-501-aus","20250812","2"
"MF10-16-501-aus","20250813","2"
"MF10-16-501-aus","20250814","2"
"MF10-16-501-aus","20250815","2"
"MF10-16-501-aus","20250818","2"
